mode,nominal_target_ratio,struct_seed,achieved_p10_ratio,n_rounds,p_erode,expand_vox,damage_seed,phi_Ni_pre,phi_Ni_post,P_span_pre,P_span_post,P_reach_pre,P_reach_post,tpb_pre,tpb_post,lcf_pre,lcf_post,retained_P_span,retained_P_reach,retained_tpb,voxels_added_expand,voxels_removed_erosion,voxels_removed_islands,voxels_pre,voxels_post
lower_tail,1.5,0,1.333333372807931,10,0.35,1,100,0.3299457720588235,0.11306525735294118,1.0,0.0,1.0,0.0,21.948529411764703,0.006893382352941175,1.0,1.0,0.0,0.0,0.000314070351758794,47965,496446,23451,717962,246030
lower_tail,1.5,0,1.333333372807931,10,0.35,1,101,0.3299457720588235,0.11318152573529412,1.0,0.0,1.0,0.0,21.948529411764703,0.01723345588235294,1.0,1.0,0.0,0.0,0.000785175879396985,47965,496326,23318,717962,246283
lower_tail,1.5,0,1.333333372807931,10,0.35,1,102,0.3299457720588235,0.11258226102941177,1.0,0.0,1.0,0.0,21.948529411764703,0.014935661764705881,1.0,1.0,0.0,0.0,0.0006804857621440537,47965,497383,23565,717962,244979
lower_tail,1.5,1,1.6142746033532454,2,0.35,1,100,0.3248855698529412,0.30806939338235295,1.0,1.0,1.0,1.0,21.490119485294116,89.57261029411764,1.0,1.0,1.0,1.0,4.168083400160385,46418,82074,936,706951,670359
lower_tail,1.5,1,1.6142746033532454,2,0.35,1,101,0.3248855698529412,0.30793336397058824,1.0,1.0,1.0,1.0,21.490119485294116,89.95749080882352,1.0,1.0,1.0,1.0,4.185993049986634,46418,82403,903,706951,670063
lower_tail,1.5,1,1.6142746033532454,2,0.35,1,102,0.3248855698529412,0.3079499080882353,1.0,1.0,1.0,1.0,21.490119485294116,89.8586856617647,1.0,1.0,1.0,1.0,4.181395348837209,46418,82308,962,706951,670099
lower_tail,1.5,1,1.6142746033532454,5,0.35,1,100,0.3248855698529412,0.23190395220588236,1.0,1.0,1.0,1.0,21.490119485294116,19.14522058823529,1.0,1.0,1.0,1.0,0.8908847901630579,46418,237333,11413,706951,504623
lower_tail,1.5,1,1.6142746033532454,5,0.35,1,101,0.3248855698529412,0.23201470588235293,1.0,1.0,1.0,1.0,21.490119485294116,19.289981617647058,1.0,1.0,1.0,1.0,0.8976209569633788,46418,237118,11387,706951,504864
lower_tail,1.5,1,1.6142746033532454,5,0.35,1,102,0.3248855698529412,0.23150873161764707,1.0,1.0,1.0,1.0,21.490119485294116,18.731617647058822,1.0,1.0,1.0,1.0,0.8716385993049987,46418,238105,11501,706951,503763
lower_tail,1.5,1,1.6142746033532454,10,0.35,1,100,0.3248855698529412,0.10737683823529412,1.0,0.0,1.0,0.0,21.490119485294116,0.028722426470588234,1.0,1.0,0.0,0.0,0.0013365410318096765,46418,496888,22829,706951,233652
lower_tail,1.5,1,1.6142746033532454,10,0.35,1,101,0.3248855698529412,0.1076608455882353,1.0,0.0,1.0,1.0,21.490119485294116,0.008042279411764707,1.0,1.0,0.0,1.0,0.0003742314889067095,46418,496540,22559,706951,234270
lower_tail,1.5,1,1.6142746033532454,10,0.35,1,102,0.3248855698529412,0.10729779411764706,1.0,0.0,1.0,0.0,21.490119485294116,0.012637867647058822,1.0,1.0,0.0,0.0,0.0005880780539962577,46418,496962,22927,706951,233480
lower_tail,1.5,2,1.333333372807931,2,0.35,1,100,0.3169829963235294,0.2987734375,1.0,1.0,1.0,1.0,21.692325367647058,94.04871323529412,1.0,1.0,1.0,1.0,4.335575446215772,43435,82083,976,689755,650131
lower_tail,1.5,2,1.333333372807931,2,0.35,1,101,0.3169829963235294,0.2987683823529412,1.0,1.0,1.0,1.0,21.692325367647058,93.7063419117647,1.0,1.0,1.0,1.0,4.319792383877973,43435,82059,1011,689755,650120
lower_tail,1.5,2,1.333333372807931,2,0.35,1,102,0.3169829963235294,0.2988028492647059,1.0,1.0,1.0,1.0,21.692325367647058,94.26011029411765,1.0,1.0,1.0,1.0,4.345320692759918,43435,82017,978,689755,650195
lower_tail,1.5,2,1.333333372807931,5,0.35,1,100,0.3169829963235294,0.2233579963235294,1.0,1.0,1.0,1.0,21.692325367647058,20.37339154411765,1.0,1.0,1.0,1.0,0.9391981356919655,43435,235663,11500,689755,486027
