mode,nominal_target_ratio,struct_seed,achieved_p10_ratio,n_rounds,p_erode,expand_vox,damage_seed,phi_Ni_pre,phi_Ni_post,P_span_pre,P_span_post,P_reach_pre,P_reach_post,tpb_pre,tpb_post,lcf_pre,lcf_post,retained_P_span,retained_P_reach,retained_tpb,voxels_added_expand,voxels_removed_erosion,voxels_removed_islands,voxels_pre,voxels_post
lower_tail,1.5,1,1.6142746033532454,8,0.35,1,100,0.3248855698529412,0.15251011029411765,1.0,1.0,1.0,1.0,21.490119485294116,0.6169577205882353,1.0,1.0,1.0,1.0,0.028708901363271856,46418,400334,21173,706951,331862
lower_tail,1.5,1,1.6142746033532454,8,0.35,1,101,0.3248855698529412,0.15348943014705882,1.0,1.0,1.0,1.0,21.490119485294116,0.6571691176470588,1.0,1.0,1.0,1.0,0.0305800588078054,46418,399847,19529,706951,333993
lower_tail,1.5,1,1.6142746033532454,8,0.35,1,102,0.3248855698529412,0.15329917279411764,1.0,1.0,1.0,1.0,21.490119485294116,0.6364889705882353,1.0,1.0,1.0,1.0,0.029617749264902436,46418,400333,19457,706951,333579
lower_tail,1.5,2,1.333333372807931,6,0.35,1,100,0.3169829963235294,0.19692233455882352,1.0,1.0,1.0,1.0,21.692325367647058,7.607996323529411,1.0,1.0,1.0,1.0,0.35072294899634554,43435,289588,15099,689755,428503
lower_tail,1.5,2,1.333333372807931,6,0.35,1,101,0.3169829963235294,0.19704457720588237,1.0,1.0,1.0,1.0,21.692325367647058,7.7585018382352935,1.0,1.0,1.0,1.0,0.3576611408294052,43435,289361,15060,689755,428769
lower_tail,1.5,2,1.333333372807931,6,0.35,1,102,0.3169829963235294,0.19678722426470588,1.0,1.0,1.0,1.0,21.692325367647058,7.581571691176469,1.0,1.0,1.0,1.0,0.3495047931783274,43435,289840,15141,689755,428209
lower_tail,1.5,2,1.333333372807931,7,0.35,1,100,0.3169829963235294,0.17123805147058824,1.0,1.0,1.0,1.0,21.692325367647058,2.3403033088235294,1.0,1.0,1.0,1.0,0.1078862348392564,43435,342816,17760,689755,372614
lower_tail,1.5,2,1.333333372807931,7,0.35,1,101,0.3169829963235294,0.17136580882352942,1.0,1.0,1.0,1.0,21.692325367647058,2.4253216911764706,1.0,1.0,1.0,1.0,0.11180551877548858,43435,342610,17688,689755,372892
lower_tail,1.5,2,1.333333372807931,7,0.35,1,102,0.3169829963235294,0.17114935661764705,1.0,1.0,1.0,1.0,21.692325367647058,2.485064338235294,1.0,1.0,1.0,1.0,0.11455961019013823,43435,343059,17710,689755,372421
lower_tail,1.5,2,1.333333372807931,8,0.35,1,100,0.3169829963235294,0.1461185661764706,1.0,1.0,1.0,1.0,21.692325367647058,0.6146599264705882,1.0,1.0,1.0,1.0,0.02833536359303003,43435,394187,21049,689755,317954
lower_tail,1.5,2,1.333333372807931,8,0.35,1,101,0.3169829963235294,0.14713832720588235,1.0,1.0,1.0,1.0,21.692325367647058,0.6066176470588235,1.0,1.0,1.0,1.0,0.02796462051798104,43435,393683,19334,689755,320173
lower_tail,1.5,2,1.333333372807931,8,0.35,1,102,0.3169829963235294,0.1466544117647059,1.0,1.0,1.0,1.0,21.692325367647058,0.5595128676470588,1.0,1.0,1.0,1.0,0.025793125364122663,43435,394455,19615,689755,319120
lower_tail,1.5,3,1.333333372807931,6,0.35,1,100,0.3268740808823529,0.20773851102941177,1.0,1.0,1.0,1.0,20.832950367647058,6.969209558823528,1.0,1.0,1.0,1.0,0.334528208239122,45661,289983,14917,711278,452039
lower_tail,1.5,3,1.333333372807931,6,0.35,1,101,0.3268740808823529,0.2082173713235294,1.0,1.0,1.0,1.0,20.832950367647058,7.3517922794117645,1.0,1.0,1.0,1.0,0.3528925164065516,45661,289049,14809,711278,453081
lower_tail,1.5,3,1.333333372807931,6,0.35,1,102,0.3268740808823529,0.20780422794117648,1.0,1.0,1.0,1.0,20.832950367647058,7.2346047794117645,1.0,1.0,1.0,1.0,0.3472674130039155,45661,289656,15101,711278,452182
lower_tail,1.5,3,1.333333372807931,7,0.35,1,100,0.3268740808823529,0.18173345588235293,1.0,1.0,1.0,1.0,20.832950367647058,2.204733455882353,1.0,1.0,1.0,1.0,0.10582915127116307,45661,343837,17650,711278,395452
lower_tail,1.5,3,1.333333372807931,7,0.35,1,101,0.3268740808823529,0.18130055147058824,1.0,1.0,1.0,1.0,20.832950367647058,2.281709558823529,1.0,1.0,1.0,1.0,0.10952407213367892,45661,342928,19501,711278,394510
lower_tail,1.5,3,1.333333372807931,7,0.35,1,102,0.3268740808823529,0.18202665441176472,1.0,1.0,1.0,1.0,20.832950367647058,2.3012408088235294,1.0,1.0,1.0,1.0,0.11046158936745161,45661,343461,17388,711278,396090
lower_tail,1.5,3,1.333333372807931,8,0.35,1,100,0.3268740808823529,0.15556204044117647,1.0,1.0,1.0,1.0,20.832950367647058,0.5365349264705882,1.0,1.0,1.0,1.0,0.025754149892461258,45661,395997,22439,711278,338503
lower_tail,1.5,3,1.333333372807931,8,0.35,1,101,0.3268740808823529,0.1560592830882353,1.0,1.0,1.0,1.0,20.832950367647058,0.5135569852941175,1.0,1.0,1.0,1.0,0.024651188440963985,45661,395264,22090,711278,339585
lower_tail,1.5,3,1.333333372807931,8,0.35,1,102,0.3268740808823529,0.15631709558823528,1.0,1.0,1.0,1.0,20.832950367647058,0.5744485294117647,1.0,1.0,1.0,1.0,0.027574036287431755,45661,396018,20775,711278,340146
lower_tail,1.5,4,1.333333372807931,6,0.35,1,100,0.32715670955882353,0.20792601102941177,1.0,1.0,1.0,1.0,21.10753676470588,7.300091911764706,1.0,1.0,1.0,1.0,0.34585238406270413,44565,289319,14692,711893,452447
lower_tail,1.5,4,1.333333372807931,6,0.35,1,101,0.32715670955882353,0.20811488970588235,1.0,1.0,1.0,1.0,21.10753676470588,7.627527573529411,1.0,1.0,1.0,1.0,0.3613651208360549,44565,288819,14781,711893,452858
lower_tail,1.5,4,1.333333372807931,6,0.35,1,102,0.32715670955882353,0.20802435661764707,1.0,1.0,1.0,1.0,21.10753676470588,7.36328125,1.0,1.0,1.0,1.0,0.3488460701066841,44565,288910,14887,711893,452661
lower_tail,1.5,4,1.333333372807931,7,0.35,1,100,0.32715670955882353,0.1818965992647059,1.0,1.0,1.0,1.0,21.10753676470588,2.258731617647059,1.0,1.0,1.0,1.0,0.10701066840844765,44565,343140,17511,711893,395807
lower_tail,1.5,4,1.333333372807931,7,0.35,1,101,0.32715670955882353,0.182,1.0,1.0,1.0,1.0,21.10753676470588,2.2989430147058822,1.0,1.0,1.0,1.0,0.1089157413455258,44565,342917,17509,711893,396032
lower_tail,1.5,4,1.333333372807931,7,0.35,1,102,0.32715670955882353,0.18215579044117647,1.0,1.0,1.0,1.0,21.10753676470588,2.4172794117647056,1.0,1.0,1.0,1.0,0.1145220988460701,44565,342742,17345,711893,396371
